iso3_exp,exporter,GEO,nGDP,rank,share,sector,NACEr1,CO2_intensity,destination,X,X_CBAM
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Food , beverages and tobacco",15t16,.35987267,RoW,375462.9183616601,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Textiles and textile,17t18,.34086084,EU27,6519.744030128117,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Textiles and textile,17t18,.34086084,RoW,575672.7585977762,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Leather, leather and footwear",19,.19375706,EU27,622.4969981405884,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Leather, leather and footwear",19,.19375706,RoW,89690.99920783693,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Wood and of wood and cork,20,.46805823,EU27,173.6460018288344,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Wood and of wood and cork,20,.46805823,RoW,28978.75881466863,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Pulp, paper, paper , printing and publishing",21t22,.45346645,EU27,606.0149945106823,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Pulp, paper, paper , printing and publishing",21t22,.45346645,RoW,68709.60343650368,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Coke, refined petroleum and nuclear fuel",23,2.87748,EU27,283187.764784744,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Coke, refined petroleum and nuclear fuel",23,2.87748,RoW,1815996.244298592,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Chemicals and chemical,24,1.4067867,EU27,16174.99413539085,13967.40316703916
BHR,Bahrain,Asia,32235.107,60,.00063628191,Chemicals and chemical,24,1.4067867,RoW,543308.5907548603,208615.669070702
BHR,Bahrain,Asia,32235.107,60,.00063628191,Rubber and plastics,25,.2790187,EU27,31527.55260133743,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Rubber and plastics,25,.2790187,RoW,209843.415855132,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Other non-metallic mineral,26,4.8430367,EU27,26101.6202360699,.8740000128746033
BHR,Bahrain,Asia,32235.107,60,.00063628191,Other non-metallic mineral,26,4.8430367,RoW,72901.26238726336,212.5379997934215
BHR,Bahrain,Asia,32235.107,60,.00063628191,Basic metals and fabricated metal,27t28,1.9624588,EU27,193361.0937808952,193097.4387746127
BHR,Bahrain,Asia,32235.107,60,.00063628191,Basic metals and fabricated metal,27t28,1.9624588,RoW,2896806.91025498,2829610.246298118
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Machinery, nec",29,.19455881,EU27,22589.17036873754,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Machinery, nec",29,.19455881,RoW,415259.1759922784,286.2750000520609
BHR,Bahrain,Asia,32235.107,60,.00063628191,Electrical and optical equipment,30t33,.20186955,EU27,5682.766056445544,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Electrical and optical equipment,30t33,.20186955,RoW,467200.5585903636,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Transport equipment,34t35,.29114175,EU27,39207.38959195651,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Transport equipment,34t35,.29114175,RoW,426262.6147824777,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Manufacturing nec; recycling,36t37,.26614583,EU27,12080.22694219626,1307.997985839844
BHR,Bahrain,Asia,32235.107,60,.00063628191,Manufacturing nec; recycling,36t37,.26614583,RoW,399577.2128700401,19457.57611274719
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Agriculture, hunting, forestry and fishing",AtB,.37349537,EU27,280.4600007906556,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,"Agriculture, hunting, forestry and fishing",AtB,.37349537,RoW,20938.09416152909,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Mining and quarrying,C,1.4879924,EU27,1.300000000745058,0
BHR,Bahrain,Asia,32235.107,60,.00063628191,Mining and quarrying,C,1.4879924,RoW,786552.574577502,766276.9751168787
BGD,Bangladesh,Asia,264543.34,34,.0024462759,"Food , beverages and tobacco",15t16,.35987267,EU27,242459.9904452495,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,"Food , beverages and tobacco",15t16,.35987267,RoW,409231.8235495324,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Textiles and textile,17t18,.34086084,EU27,16855169.27433703,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Textiles and textile,17t18,.34086084,RoW,17513421.41157319,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,"Leather, leather and footwear",19,.19375706,EU27,657985.0798605653,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,"Leather, leather and footwear",19,.19375706,RoW,707757.5636602782,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Wood and of wood and cork,20,.46805823,EU27,5068.642019617138,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Wood and of wood and cork,20,.46805823,RoW,7507.85292330198,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,"Pulp, paper, paper , printing and publishing",21t22,.45346645,EU27,950.9049995472888,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,"Pulp, paper, paper , printing and publishing",21t22,.45346645,RoW,7094.618011767627,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,"Coke, refined petroleum and nuclear fuel",23,2.87748,RoW,44724.89665076882,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Chemicals and chemical,24,1.4067867,EU27,6579.197142391698,15.38199964910746
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Chemicals and chemical,24,1.4067867,RoW,143296.4440401483,17658.53916990757
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Rubber and plastics,25,.2790187,EU27,17610.43301728857,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Rubber and plastics,25,.2790187,RoW,38515.35579874623,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Other non-metallic mineral,26,4.8430367,EU27,19088.30783919978,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Other non-metallic mineral,26,4.8430367,RoW,39968.91907449649,7451.770203128457
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Basic metals and fabricated metal,27t28,1.9624588,EU27,2134.678016214399,1157.283997526392
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Basic metals and fabricated metal,27t28,1.9624588,RoW,48385.3725886629,13725.12193552824
BGD,Bangladesh,Asia,264543.34,34,.0024462759,"Machinery, nec",29,.19455881,EU27,2506.629001993104,2.710999911651015
BGD,Bangladesh,Asia,264543.34,34,.0024462759,"Machinery, nec",29,.19455881,RoW,27789.67239999049,50.27000171691179
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Electrical and optical equipment,30t33,.20186955,EU27,10073.6879776835,0
BGD,Bangladesh,Asia,264543.34,34,.0024462759,Electrical and optical equipment,30t33,.20186955,RoW,123733.761660633,0
